的	dik1
象	zoeng6
員	wan6
依	ji1
優	jau1
唐	tong4
紛	fan1
串	gwaan3
塘	tong4
革	gik1
位	wai6
頂	ding2
礎	co2
敗	baai6
嘴	zeoi2
繪	kui3
融	jung4
入	jap6
常	soeng4
載	zoi6
倒	dou3
宋	sung3
玻	bo1
酵	haau3
盆	pun4
文	man6
總	zung2
房	pong4
突	duk1
巨	geoi6
耕	gang1
錫	sik3
廟	miu6
次	zi1
品	ban2
坐	zo6
粉	fan2
坦	taan2
榮	wing4
凍	dung3
攝	zip3
式	sik1
活	wut6
敵	dik6
客	haak3
灣	waan4
閉	bai3
籌	cau4
輔	fu6
設	cit3
及	kap6
袁	jyun4
冷	laang5
鍵	gin6
剝	pok3
襲	zap6
拒	keoi5
管	gun2
特	dak6
勝	sing3
絕	zyut6
凡	faan4
並	bing6
筋	gan1
僚	lou5
件	gin6
求	kau4
析	sik1
塊	faai3
駐	zyu3
救	gau3
旱	hon5
鉀	gaap3
老	lou5
頭	tau4
劑	zai6
測	cak1
鍋	wo1
恩	jan1
漆	cit3
鳥	niu5
基	gei1
資	zi1
絲	si1
協	hip6
凝	king4
堿	ham3
眉	mei4
添	tim1
邊	bin1
流	lau4
訴	sou3
陳	zan6
齒	ci2
截	zit6
疏	so3
棒	paang5
路	lou6
級	kap1
仍	jing4
羅	lo4
跡	zik1
麻	maa4
穗	seoi6
埋	maai4
少	siu3
圖	tou4
餘	jyu4
鹽	jim4
禁	kam1
紡	fong2
硝	siu1
韓	hon4
山	saan1
統	tung2
友	jau5
洋	joeng4
廢	fai3
版	baan2
僑	kiu4
扭	nau5
接	zip3
知	zi3
錯	laap6
苦	fu2
緩	wun6
淨	zing6
逼	bik1
挺	ting5
較	gok3
將	zoeng3
夜	je6
刑	jing4
睛	zing1
昌	coeng1
涼	loeng6
栽	zoi1
組	zou2
見	jin6
移	ji4
模	mou4
婚	fan1
涉	sip3
碗	wun2
炒	caau2
計	gei3
別	bit6
頻	pan4
念	nim6
筒	tung4
插	caap3
杯	bui1
勸	hyun3
她	taa1
手	sau2
逐	zuk6
靠	kaau3
岸	ngon6
朗	long5
患	waan6
贊	zaan3
角	luk6
期	kei4
混	wan6
母	mou5
莊	zong1
街	gaai1
餾	lau6
豪	hou4
根	gan1
論	leon6
短	dyun2
皮	pei4
姑	gu1
貿	mau6
遼	liu4
勃	but6
運	wan6
農	nung4
終	zung1
聚	zeoi6
奴	nou4
煉	lin6
鴻	hung4
吏	lei6
指	zi2
幾	gei2
汽	hei3
村	cyun1
腐	fu6
啦	laa1
旦	daan6
拜	baai3
九	gau2
區	ngau1
哪	no4
既	gei3
慣	gwaan3
乘	sing6
狗	gau2
輥	kwan2
強	koeng5
放	fong3
衛	wai6
距	keoi5
恢	fui1
勻	wan4
掩	jim2
飲	jam3
決	kyut3
西	sai1
校	haau6
停	ting4
梁	loeng4
紗	saa1
搬	bun1
罵	maa6
被	pei5
做	zou6
烈	lit6
央	joeng1
辯	bin6
耳	ji5
勾	ngau1
辭	ci4
必	bit1
戰	zin3
察	caat3
燒	siu1
彪	biu1
抵	zi2
扣	kau3
丈	zoeng6
先	sin3
則	zak1
迅	seon3
境	ging2
臣	san4
億	jik1
估	gu3
絨	jung4
任	jam6
取	ceoi2
若	joek6
印	ngan3
脈	mak6
璃	lei4
蔣	zoeng2
霧	mou6
據	geoi3
回	wui4
洲	zau1
刻	hak1
秀	sau3
薩	saat3
麵	min6
姆	mou5
給	kap1
調	tiu4
括	kut3
激	gik1
俄	ngo4
網	mong5
擬	ji5
朵	doe2
處	syu3
隊	zeoi6
孔	hung2
搞	gaau2
舞	mou5
店	dim3
宇	jyu5
輯	cap1
南	naam4
色	sik1
室	sat1
待	doi6
噴	pan3
縱	zung3
陝	sim2
番	pun1
光	gwong1
門	mun4
核	wat6
散	saan3
寸	cyun3
童	tung4
雕	tiu1
償	soeng4
即	zik1
保	bou2
侵	cam1
吧	baa6
汗	hon6
洪	hung4
蓄	cuk1
剪	zin2
治	zi6
北	bui3
甲	gaap3
久	gau2
賀	ho6
閃	sim2
崇	sung4
倡	coeng3
造	zou6
百	mak6
菜	coi3
味	mei6
掛	kwaa3
柬	gaan2
咬	ngaau5
廳	ting1
規	kwai1
熱	jit6
舊	gau6
湖	wu4
爆	paau3
烯	hei1
薯	syu6
駛	si2
領	ling5
七	cat1
貨	fo6
彈	taan4
勒	lak6
津	zeon1
刷	saat3
斥	cik1
海	hoi2
口	hau2
損	syun2
預	jyu6
軋	zaat3
稻	dou6
賦	fu3
奉	fung6
東	dung1
導	dou6
阻	zo2
毫	hou4
軟	jyun5
勇	jung5
扇	sin3
曼	mun5
器	hei3
壓	ngaat3
乙	jyut6
普	pou2
像	zoeng6
杆	gon1
沈	zam3
漫	maan6
世	sai3
金	gam1
穩	wan2
媽	maa5
厘	lei4
滾	gwan2
澆	ngou6
鈣	koi3
增	zang1
爭	zang1
植	zik6
息	sik1
蒙	mung4
芳	fong1
桃	tou4
仔	zi2
濟	zai3
階	gaai1
擴	kwong3
銀	ngan4
肯	hoi2
坡	po1
扶	pou4
俗	zuk6
油	jau4
思	soi1
語	jyu6
揮	fai1
腿	teoi2
儀	ji4
返	faan2
虧	kwai1
術	seot6
極	gik6
酒	zau2
雲	wan4
旅	leoi5
尾	mei5
腔	hong1
鞋	haai4
交	gaau1
受	sau6
守	sau3
拿	naa4
伙	fo2
蕩	dong6
叔	suk1
悄	ciu5
幹	hon4
聯	lyun4
序	zeoi6
紙	zi2
冰	jing4
貢	gung3
撞	zong6
框	kwaang1
認	jing6
六	luk6
醫	ji1
熟	suk6
登	dang1
黎	lai4
覆	fuk1
週	zau1
共	gung6
權	kyun4
缺	kyut3
雨	jyu6
鑽	zyun3
秘	bei3
騙	pin3
勘	ham3
收	sau1
證	zing3
嗎	maa5
針	zam1
逃	tou4
障	zoeng3
旺	wong6
沸	fai3
改	goi2
清	cing1
劉	lau4
啊	haa4
氨	on1
湯	tong3
孤	gu1
黏	nim4
志	zi3
己	gei2
急	gap1
唱	coeng3
郭	gwok3
亡	mou4
吐	tou3
孟	maang6
美	mei5
再	zoi3
訓	fan3
誤	ng6
峰	fung1
幣	bai6
屈	wat1
渠	keoi4
轉	zyun3
更	gang3
願	jyun6
審	sam2
港	gong2
伏	fuk6
仰	ngong5
妙	miu6
單	sin6
風	fung3
血	hyut3
附	fu6
夢	mung6
畝	mau5
惜	sik1
疾	zat6
切	cit3
打	ding2
茶	caa4
鮮	sin2
軌	gwai2
畢	bat1
辟	pik1
狠	han2
白	baak6
教	gaau3
糧	loeng4
斤	gan3
擦	caat3
莫	mou6
脹	zoeng3
諧	haai4
速	cuk1
花	waa6
孩	hoi4
脫	tyut3
刺	sik3
浪	long6
拋	paau1
喂	wai6
帶	daai3
安	on1
硫	lau4
善	sin6
援	wun4
株	zyu1
霉	mui4
桑	song1
場	coeng4
身	san1
肥	fei4
演	jin5
健	gin6
售	sau6
哩	li1
衰	seoi1
車	geoi1
例	lai6
龍	lung4
父	fu6
股	gu2
采	coi3
嘛	maa5
崗	gong1
真	zan1
務	mou6
漸	zim6
歡	fun1
島	dou2
泡	pou5
棱	ling4
滲	sam3
具	geoi6
萬	maan6
掌	zoeng2
械	haai6
甘	gam1
睡	seoi6
盜	dou6
髒	zong1
每	mui5
目	muk6
歌	go1
沙	saa1
鑄	zyu3
休	nau2
賴	laai6
甜	tim4
至	zi3
達	taat3
獲	wok6
著	zyu3
閥	fat6
牧	muk6
曹	cou4
閱	jyut6
走	zau2
積	zik1
剛	gong1
製	zai3
繞	jiu5
哲	zit3
厲	lai6
肌	gei1
示	si6
議	ji5
攻	gung1
謂	wai6
炸	zaa3
磷	ling4
烴	ting1
巷	hong6
聲	sing1
報	bou3
盾	teon5
討	tou2
朋	pang4
績	zik1
毅	ngai6
緯	wai6
鬥	dau3
完	jyun4
晚	maan5
佈	bou3
淡	taam5
啟	kai2
昨	zok6
偽	ngai6
類	leoi6
八	baat3
粒	nap1
亂	lyun6
尖	zim1
陷	ham6
煮	zyu2
症	zing3
離	lei6
華	waa6
燃	jin4
矛	maau4
柴	zaai6
呈	cing4
搭	taap3
釘	ding1
名	ming4
確	kok3
乎	wu4
殺	saat3
徒	tou4
顏	ngaan4
莖	hang4
籠	lung5
科	fo1
傳	zyun6
複	fuk1
藥	ngok6
淚	leoi6
稍	saau2
嘆	taan3
綸	leon4
張	zoeng3
才	coi4
寧	ning6
魯	lou5
忘	mong6
扎	zaat3
酷	huk6
鬍	wu4
信	seon3
馬	maa5
貴	gwai3
煤	mui4
泵	bam1
藍	laam4
偷	tau1
弓	gung1
節	zit3
話	waa6
伯	mak6
讀	duk6
拖	to1
洞	tung4
錐	zeoi1
恒	hang4
米	mai5
採	coi2
班	baan1
句	ngau1
弄	nung6
授	sau6
遊	jau6
坑	haang1
整	zing2
空	hung3
香	hoeng1
迫	bik1
鏡	geng3
埔	bou3
鼻	bei6
敘	zeoi6
元	jyun4
況	fong3
介	gaai3
豐	fung1
壯	zong6
辛	san1
獄	juk6
翼	jik6
今	gam1
集	zap6
培	pui4
握	ngak1
鋒	fung1
虛	heoi1
絡	lok6
逮	doi6
溫	wan1
土	tou2
蘭	laan4
弦	jyun4
貧	pan4
佛	fat6
湧	jung5
罐	gun3
許	heoi2
步	fau6
擔	daam3
蛋	daan6
彎	waan1
摩	mo4
抑	jik1
棚	paang4
群	kwan4
石	sek6
沉	zam6
假	gaa3
泰	taai3
匯	wui6
膨	paang4
寺	zi6
廣	gwong2
且	zeoi1
執	zap1
穿	cyun1
幼	jau3
尊	zyun1
砌	cit3
蔬	so1
記	gei3
需	seoi1
答	daap3
誰	seoi4
廷	ting4
窗	coeng1
驟	zau6
穆	muk6
段	dyun6
研	ngaan4
順	seon6
煙	jin1
綱	gong1
氏	zi1
冶	je5
枯	fu1
界	gaai3
拉	laat6
縮	suk1
臉	lim5
隸	lai6
疑	ji4
凸	gu2
紳	san1
林	lam4
律	leot6
喜	hei2
腳	gok3
宮	gung1
姐	ze2
坯	pui1
焰	jim6
叫	giu3
究	gau3
異	ji6
免	min5
震	zan3
瑞	seoi6
犧	hei1
冊	caak3
觀	gun3
越	jyut6
困	kwan3
背	bui6
怪	gwaai3
尤	jau4
轟	gwang1
緻	zi3
織	zik1
裝	zong1
星	sing1
福	fuk1
夾	hip3
循	ceon4
晉	zeon3
瘦	sau3
影	jing2
算	syun3
買	maai5
染	jim5
琴	kam4
描	miu4
喪	song3
壟	lung5
低	dai1
持	ci4
井	zing2
概	koi3
膜	mou4
違	wai4
錠	ding6
錦	gam2
音	jam1
眾	zung3
慢	maan6
怕	paa3
珠	zyu1
緣	jyun6
旬	ceon4
鍛	dyun6
系	hai6
書	syu1
游	jau6
磁	ci4
腰	jiu1
枝	zi1
邀	jiu1
欣	jan1
容	jung4
兒	ngai4
倍	pui5
祖	zou2
森	sam1
窮	kung4
亭	ting4
酯	zi2
際	zai3
商	soeng1
皇	wong4
薄	bok6
竹	zuk1
溝	kau1
舒	syu1
邁	maai6
非	fei2
驗	jim6
促	cuk1
靜	zing6
催	ceoi1
憶	jik1
憂	jau1
脆	ceoi3
連	lin4
斷	tyun5
補	bou2
評	ping4
繩	sing4
邦	bong1
閒	haan4
撲	puk1
率	seot1
深	sam1
鐘	zung1
翻	faan1
剩	zing6
欄	laan4
漲	zoeng3
羽	jyu5
難	no4
近	kan5
肉	juk6
踐	zin6
漿	zoeng1
擁	ung2
酚	fan1
頑	waan4
須	seoi1
礦	kwong3
尼	nei4
衣	ji3
牙	ngaa4
貯	zyu2
卸	se3
拌	pun3
千	cin1
省	sing2
寬	fun1
揚	joeng4
禮	lai5
濾	leoi6
仗	zoeng6
陪	pui4
委	wai2
素	sou3
棉	min4
希	hei1
鈉	naat3
紋	man6
姚	jiu4
懲	cing4
技	gei6
備	bei6
傷	soeng1
操	cou3
咱	zaa1
拍	paak3
杭	hong4
捉	zuk3
半	bun3
辦	baan6
藏	zong6
垂	seoi4
罷	pei4
幸	hang6
肚	tou5
飄	piu1
青	cing1
列	lit6
宜	ji4
秋	cau1
喊	haam3
袖	zau6
漂	piu3
搜	sau2
習	zap6
便	pin4
氫	hing1
露	lou6
埃	oi1
勤	kan4
吾	ngaa4
昆	kwan1
響	hoeng2
約	wok6
套	tou3
督	duk1
焦	ziu1
罰	fat6
欺	hei1
郎	long4
支	zi1
般	pun4
筆	bat1
振	zan3
伍	ng5
潛	cim4
汁	zap1
烷	jyun4
史	si2
感	gam2
亮	loeng6
憲	hin3
墨	mak6
縫	fung6
蕭	siu1
郵	jau4
勞	lou6
團	tyun4
末	mut6
架	gaa3
姓	sing3
刊	hon2
雅	ngaa5
飾	sik1
往	wong5
酸	syun1
慶	hing3
綠	luk6
畜	cuk1
飽	baau2
屍	si1
燕	jin3
稱	cing3
市	si5
編	pin1
牛	ngau4
獎	zoeng2
鋁	leoi5
遷	cin1
姻	jan1
克	hak1
何	ho6
映	joeng2
觸	zuk1
余	se4
鬼	gwai2
撒	saat3
赴	fu6
除	zyu6
消	siu1
銷	siu1
雷	leoi4
麗	lei4
挖	waat3
宴	jin3
債	zaai3
構	kau3
府	fu2
座	zo6
詩	si1
跨	kwaa3
默	mak6
帳	zoeng3
煩	faan4
甚	sap6
太	taai3
居	geoi1
抓	zaau2
鏈	lin6
仿	pong4
斑	baan1
旨	zi2
精	zing1
歷	lik6
裂	lit6
胞	paau1
掃	sou3
喝	jit3
鈴	ling4
醇	seon4
值	zik6
係	hai6
呼	fu1
娘	noeng4
袋	doi6
殼	hok3
董	dung2
姿	zi1
周	zau1
什	zaap6
景	jing2
盟	mang4
炭	taan3
幕	mok6
雛	co4
餅	bing2
號	hou6
族	zuk6
威	wai1
晶	zing1
諸	zyu1
弧	wu4
傅	fu6
妥	to5
維	wai4
劃	waak6
厚	hau5
衡	waang4
污	wu3
勵	lai6
腹	fuk1
拆	caak3
選	syun3
標	biu1
孫	syun1
延	jin4
梅	mui4
奶	naai5
捅	tung2
揉	jau6
寫	se2
存	cyun4
雞	gai1
危	ngai4
潔	git3
災	zoi1
澱	din6
賢	jin4
候	hau6
親	can3
膠	gaau1
屋	uk1
舟	zau1
鑒	gaam3
歪	waai1
葡	pou4
毛	mou4
快	faai3
鄉	hoeng3
沖	cung1
苯	bun2
訟	zung6
丟	diu1
徽	fai1
查	zaa1
效	haau6
臨	lam6
陸	luk6
抱	pou5
毀	wai2
浩	hou6
胺	on3
斯	si1
院	jyun6
顧	gu3
掉	zaau6
懂	dung2
寒	hon4
墊	zin3
昂	ngong5
江	gong1
型	jing4
呀	haa1
奇	kei4
智	zi3
寄	gei3
擋	dong3
覽	laam5
眼	ngaan5
王	wong6
燈	dang1
歲	seoi3
屆	gaai3
躍	tik1
貪	taam1
慰	wai3
按	on3
格	gaak3
措	cou3
束	cuk1
挑	tou1
渡	dou6
抹	mut6
繳	zoek3
養	joeng6
易	jik6
耐	noi6
劇	kek6
丹	daan1
艱	gaan1
馮	pang4
樑	loeng4
置	zi3
派	paai3
玉	juk6
趙	ziu6
貝	bui3
拔	bat6
汪	wong1
慌	fong2
層	cang4
片	pin3
跳	tiu4
哥	go1
爹	de1
戴	daai3
諾	nok6
姜	goeng1
始	ci2
卻	koek3
季	gwai3
課	fo3
碼	maa5
芽	ngaa4
誼	ji6
闆	baan2
專	zyun1
狀	zong6
凱	ngoi2
額	ngaak6
碰	pung3
赤	cik3
劣	lyut6
耀	jiu6
育	juk6
廠	cong2
齊	zi1
款	fun2
漁	jyu4
哭	huk1
誣	mou4
攪	gaau2
京	jyun4
識	zi3
紹	siu6
偉	wai5
鉛	jyun4
敬	ging3
昏	fan1
盈	jing4
適	zaak6
參	sam1
蒸	zing1
永	wing5
顆	fo3
奔	ban3
躺	tong2
喬	kiu4
屬	zuk6
圓	jyun4
殖	zik6
宗	zung1
欲	juk6
仲	zung6
溪	kai1
騎	kei4
包	baau1
火	fo2
苗	miu4
川	cyun1
柯	o1
稀	hei1
叢	cung4
盧	lou4
住	zyu6
滿	mun6
爐	lou4
弱	joek6
虎	fu2
妹	mui6
譽	jyu6
咨	zi1
縣	jyun6
局	guk6
楊	joeng4
零	ling4
乏	fat6
珍	zan1
悶	mun6
屏	ping4
照	ziu3
準	zyut3
奏	zau3
沿	jyun4
桌	zoek3
申	san1
駕	gaa3
倆	loeng5
紅	hung4
輕	hing1
岩	ngaam4
探	taam3
遵	zyun1
允	wan5
悟	ng6
纜	laam6
引	jan5
細	sai3
滑	waat6
鎮	zan3
螺	lo4
隆	naam4
摘	zaak6
擲	zaak6
聽	ting3
該	goi1
飯	faan6
濃	nung4
倉	cong1
魏	ngai6
餌	nei6
堡	pou3
鐵	tit3
價	gaa3
航	hong4
懷	waai4
曉	hiu2
銳	jeoi6
頗	po2
幻	waan6
嚴	jim4
底	dik1
趕	gon2
庫	se3
征	zing1
兼	gim1
惠	wai6
柄	bing3
首	sau3
液	jik6
奪	dyut6
伊	ji1
氮	daam6
隱	jan3
佳	gaai1
慘	caam2
